word,meaning,skill_level,image_path
Hardware,"Le parti fisiche di un computer. Esempio: la tastiera, lo schermo e il mouse",0.2,images/0.jpg
Software (programma),"I programmi che permettono al computer di fare delle cose, come scrivere un documento o navigare in internet.",0.3,images/1.jpg
Desktop,"La schermata principale del computer, dove si trovano le icone per aprire programmi, cartelle e file.",0.3,images/2.jpg
Icona,"Un piccolo simbolo che rappresenta un programma, un file o una funzione nel dispositivo.",0.2,images/3.jpg
Zoom,"Serve per ingrandire o rimpicciolire qualcosa: una pagina, una immagine, ecc.",0.3,images/zoom.gif
Tasto sinistro,"Il tasto principale del mouse, utilizzato per selezionare oggetti, aprire, trascinare.",0.3,images/left-click.webp
Tasto destro,"Il tasto del mouse che apre un menu con opzioni aggiuntive, come copiare, incollare, rinominare, ecc.",0.3,images/right-click.webp
Doppio click,"Quando premi due volte rapidamente il tasto sinistro del mouse per aprire un programma o un file.",0.3,images/double-click.gif
File,"Un documento, una foto, un video, etc. Tutte queste cose si chiamano 'files' quando sono dentro un dispositivo",0.3,images/4.jpg
Rotellina del mouse,"Una parte del mouse che si gira per scorrere le pagine o anche per fare lo zoom (insieme al tasto CTRL).",0.3,images/wheel.webp
Cartella,"Un posto dove si possono mettere i file nel computer, per trovarli facilmente quando servono.",0.2,images/5.jpg
Smartphone,"Telefono che può fare molte cose simili a quelle di un computer, come navigare su internet, fare videochiamate o usare app.",0.4,images/6.jpg
Tablet,"Dispositivo portatile (simile allo smartphone, ma con uno schermo grande) per usare app, navigare su internet, e fare altre cose come un computer.",0.4,images/7.jpg
Finestra,"Una parte dello schermo dove viene visualizzato un programma o un file.",0.3,images/8.jpg
Start,"Un tasto che apre il menu principale del computer per aprire programmi e impostazioni.",0.3,images/start.webp
Invio,"Un tasto che permette di confermare un'azione. Quando scriviamo serve per andare a capo.",0.3,images/enter.webp
Internet,"Una rete che collega milioni di dispositivi in tutto il mondo e permette di scambiare informazioni, come leggere notizie o guardare video.",0.5,images/9.jpg
Browser,"Un programma che ti permette di navigare su internet e vedere siti web. 'Google Chrome', 'Firefox', 'Edge' sono dei browser.",0.4,images/10.jpg
Sito web,"Un insieme di pagine che puoi visitare su internet, ad esempio un negozio online o un blog.",0.3,images/11.jpg
Homepage / Home,"La pagina principale di un sito web o di un'app, che di solito contiene i collegamenti alle altre sezioni.",0.3,images/45.jpg
Barra degli indirizzi,"La parte di una finestra che ci dice dove ci troviamo. Possiamo anche scriverci sopra, per spostarci in un altro punto",0.4,images/12.jpg
Motore di ricerca,"Un sito web che ti aiuta a trovare informazioni su internet. Il più famoso è Google, ma ce ne sono anche altri",0.5,images/13.jpg
Scheda (tab),"Una parte della finestra di un programma (come un browser) che ti permette di aprire più pagine contemporaneamente.",0.4,images/tab.jpg
Wi-Fi,"Una tecnologia che permette di connettersi a internet senza usare fili, tramite onde radio.",0.4,images/14.jpg
Touchscreen,"Schermo che si può controllare toccando con le dita. Una televisione non è touchscreen. Uno smartphone sì.",0.3,images/15.jpg
Copiare,"Fare una copia di un file o di un testo. Esempio: 'Copiare un file' significa fare una copia di un documento per usarlo o mandarlo a qualcun altro.",0.3,images/16.jpg
Incollare,"Mettere il file o il testo che hai copiato in un nuovo posto.",0.3,images/17.jpg
Drag and Drop (trascinare),"Spostare qualcosa sullo schermo prendendolo con il mouse e spostandolo in un altro punto. Esempio: Trascina una foto dalla tua cartella alla finestra di un programma per caricarla.",0.4,images/drag.gif
